"Sleep HRV — 2026-09-10 to 2026-09-16
========================
Note: dates are wake-up days (each value comes from the night that ended that morning).

HRV Assessment — Last 7 days
========================

2026-09-16:
  HRV Avg: 41 ms — Above normal
  Normal Range: 31 - 39 ms
  Baseline: 35 ms
2026-09-15:
  HRV Avg: 37 ms — Normal
  Normal Range: 31 - 39 ms
  Baseline: 35 ms
2026-09-14:
  HRV Avg: 34 ms — Normal
  Normal Range: 30 - 38 ms
  Baseline: 34 ms
2026-09-13:
  HRV Avg: 29 ms — Below normal
  Normal Range: 30 - 38 ms
  Baseline: 34 ms
2026-09-12:
  HRV Avg: 36 ms — Normal
  Normal Range: 31 - 39 ms
  Baseline: 35 ms
2026-09-11:
  HRV Avg: 35 ms — Normal
  Normal Range: 30 - 38 ms
  Baseline: 34 ms
2026-09-10:
  HRV Avg: 39 ms — Normal
  Normal Range: 29 - 39 ms
  Baseline: 34 ms

Sleep HRV Time Series — Last 7 days
========================

  timestamp=1789308590, timezone=12, hrv=78 ms, status=0, confidence=87
  timestamp=1789311890, timezone=12, hrv=41 ms, status=0, confidence=100
  timestamp=1789312190, timezone=12, hrv=60 ms, status=0, confidence=83
  timestamp=1789313990, timezone=12, hrv=59 ms, status=0, confidence=91
  timestamp=1789315490, timezone=12, hrv=34 ms, status=0, confidence=93
  timestamp=1789316990, timezone=12, hrv=41 ms, status=0, confidence=100
  timestamp=1789317590, timezone=12, hrv=33 ms, status=0, confidence=100
  timestamp=1789319690, timezone=12, hrv=43 ms, status=0, confidence=100
  timestamp=1789320890, timezone=12, hrv=35 ms, status=0, confidence=100
  timestamp=1789321790, timezone=12, hrv=23 ms, status=0, confidence=100
  timestamp=1789328990, timezone=12, hrv=64 ms, status=0, confidence=86
  timestamp=1789329890, timezone=12, hrv=48 ms, status=0, confidence=96
  timestamp=1789330190, timezone=12, hrv=36 ms, status=0, confidence=100
  timestamp=1789330790, timezone=12, hrv=63 ms, status=0, confidence=96
  timestamp=1789331390, timezone=12, hrv=53 ms, status=0, confidence=97
  timestamp=1789331690, timezone=12, hrv=72 ms, status=0, confidence=84
  timestamp=1789332290, timezone=12, hrv=42 ms, status=0, confidence=100
2026-09-14:
  timestamp=1789334690, timezone=12, hrv=28 ms, status=0, confidence=100
  timestamp=1789335290, timezone=12, hrv=32 ms, status=0, confidence=100
  timestamp=1789335590, timezone=12, hrv=38 ms, status=0, confidence=100
  timestamp=1789335890, timezone=12, hrv=27 ms, status=0, confidence=100
  timestamp=1789336790, timezone=12, hrv=33 ms, status=0, confidence=100
  timestamp=1789337390, timezone=12, hrv=35 ms, status=0, confidence=100
  timestamp=1789337990, timezone=12, hrv=16 ms, status=0, confidence=100
  timestamp=1789338590, timezone=12, hrv=65 ms, status=0, confidence=96
  timestamp=1789339190, timezone=12, hrv=35 ms, status=0, confidence=100
  timestamp=1789339790, timezone=12, hrv=30 ms, status=0, confidence=100
  timestamp=1789340690, timezone=12, hrv=33 ms, status=0, confidence=100
  timestamp=1789341290, timezone=12, hrv=36 ms, status=0, confidence=100
  timestamp=1789341890, timezone=12, hrv=28 ms, status=0, confidence=100
  timestamp=1789342490, timezone=12, hrv=50 ms, status=0, confidence=100
  timestamp=1789343090, timezone=12, hrv=64 ms, status=0, confidence=100
  timestamp=1789343690, timezone=12, hrv=27 ms, status=0, confidence=100
  timestamp=1789344290, timezone=12, hrv=34 ms, status=0, confidence=100
  timestamp=1789345190, timezone=12, hrv=22 ms, status=0, confidence=100
  timestamp=1789345790, timezone=12, hrv=34 ms, status=0, confidence=100
  timestamp=1789346390, timezone=12, hrv=30 ms, status=0, confidence=100
  timestamp=1789346990, timezone=12, hrv=29 ms, status=0, confidence=100
  timestamp=1789347590, timezone=12, hrv=30 ms, status=0, confidence=100
  timestamp=1789348190, timezone=12, hrv=22 ms, status=0, confidence=100
  timestamp=1789348790, timezone=12, hrv=54 ms, status=0, confidence=96
  timestamp=1789349690, timezone=12, hrv=55 ms, status=0, confidence=87
  timestamp=1789350290, timezone=12, hrv=25 ms, status=0, confidence=100
  timestamp=1789350890, timezone=12, hrv=25 ms, status=0, confidence=100
  timestamp=1789351490, timezone=12, hrv=26 ms, status=0, confidence=100
  timestamp=1789352090, timezone=12, hrv=25 ms, status=0, confidence=100
  timestamp=1789352690, timezone=12, hrv=41 ms, status=0, confidence=100
  timestamp=1789353590, timezone=12, hrv=21 ms, status=0, confidence=100
  timestamp=1789354190, timezone=12, hrv=16 ms, status=0, confidence=100
  timestamp=1789354790, timezone=12, hrv=55 ms, status=0, confidence=91
  timestamp=1789361690, timezone=12, hrv=31 ms, status=0, confidence=100
  timestamp=1789362590, timezone=12, hrv=54 ms, status=0, confidence=85
  timestamp=1789364090, timezone=12, hrv=34 ms, status=0, confidence=100
  timestamp=1789364390, timezone=12, hrv=41 ms, status=0, confidence=93
